channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-164085.7813,-80860.83594,-113532.1953,-155630.375,-187500.0156,-148171.2344,-157347.6563,-187500.0156
-164083.9063,-80862.6875,-113544.875,-155514.0938,-187500.0156,-148169.7969,-157238.9063,-187500.0156
-164080.5156,-80858.03906,-113547.4688,-155447.2344,-187500.0156,-148163.25,-157164.0781,-187500.0156
-164082.6875,-80859.98438,-113542.2578,-155546.4375,-187500.0156,-148166.6094,-157226,-187500.0156
-164084.4219,-80864.05469,-113543.0391,-155625.4531,-187500.0156,-148173.5625,-157326.2656,-187500.0156
-164080.9219,-80863.96094,-113554.1484,-155529.9375,-187500.0156,-148173.9844,-157269.7188,-187500.0156
-164076.875,-80860.5625,-113561.0781,-155430.9844,-187500.0156,-148173.5156,-157142.1563,-187500.0156
-164075.7969,-80857.25781,-113551.3516,-155511.0625,-187500.0156,-148172.6875,-157210.1719,-187500.0156
-164080.5781,-80860.78906,-113544.875,-155621.7656,-187500.0156,-148173.1094,-157333.5,-187500.0156
-164083.5313,-80863.9375,-113554.8438,-155554.1719,-187500.0156,-148174.9063,-157283.7031,-187500.0156
-164083.1875,-80860.42969,-113561.6328,-155439.3125,-187500.0156,-148171.6406,-157180.1094,-187500.0156
-164084.625,-80857.16406,-113549.8594,-155491.9375,-187500.0156,-148167.7188,-157213.875,-187500.0156
-164089.9063,-80859.44531,-113537.1797,-155615.3281,-187500.0156,-148170.2031,-157330.0625,-187500.0156
-164093.5156,-80862.21875,-113544.6016,-155578.5625,-187500.0156,-148172.1875,-157299.8281,-187500.0156
-164089.9844,-80859.3125,-113554.7109,-155450.4531,-187500.0156,-148169.6875,-157166.9688,-187500.0156
-164087.2031,-80854.59375,-113547.5078,-155466.8594,-187500.0156,-148168.5313,-157180.3438,-187500.0156
-164088.9844,-80855.0625,-113535.6172,-155593.2813,-187500.0156,-148172.4688,-157308.1406,-187500.0156
-164090.5938,-80858.66406,-113539.375,-155592.2344,-187500.0156,-148175.1719,-157318.9063,-187500.0156
-164088.0156,-80856.35938,-113549.1406,-155467.0469,-187500.0156,-148170.5156,-157202.4063,-187500.0156
-164084.9219,-80851.86719,-113545.3203,-155456.9219,-187500.0156,-148167.1406,-157186.9063,-187500.0156
-164086.9531,-80853.94531,-113535.3281,-155583.8125,-187500.0156,-148171.1719,-157301.7656,-187500.0156
-164089.5625,-80861.65625,-113540.3125,-155612,-187500.0156,-148178.0938,-157318.5469,-187500.0156
-164086.5938,-80861.01563,-113552.7422,-155488.4375,-187500.0156,-148178.0313,-157209.2031,-187500.0156
-164082.0156,-80854.79688,-113551.4688,-155445.7031,-187500.0156,-148174.2813,-157175.6094,-187500.0156
-164079.9375,-80853.72656,-113540.1094,-155561.9688,-187500.0156,-148176.7813,-157280.6719,-187500.0156
-164083.8594,-80859.60156,-113542.8125,-155628.7188,-187500.0156,-148182.9219,-157347.0781,-187500.0156
