channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-161067.4375,-81084.61719,-108764.6172,-154091.6719,-187500.0156,-148178.9219,-158148.25,-187500.0156
-161061.625,-81070.28906,-108759.2266,-153992.875,-187500.0156,-148166.9375,-158064.7813,-187500.0156
-161077.75,-81084.90625,-108746.2891,-154230.2031,-187500.0156,-148196.25,-158219.5938,-187500.0156
-161083.7031,-81101.38281,-108746.3125,-154360.9531,-187500.0156,-148211.1719,-158336.3125,-187500.0156
-161069.0625,-81091.70313,-108756.6406,-154143.7969,-187500.0156,-148185.1875,-158192.8125,-187500.0156
-161060.5,-81077,-108755.25,-153987.8906,-187500.0156,-148162.8281,-158060.7344,-187500.0156
-161072.2656,-81086.78906,-108742.9609,-154187.0938,-187500.0156,-148186.0781,-158199.5156,-187500.0156
-161079.2031,-81101.64844,-108743.0938,-154370.9219,-187500.0156,-148210.5469,-158335.6406,-187500.0156
-161067.5625,-81092.66406,-108755.3594,-154194.4219,-187500.0156,-148191.6406,-158212.2031,-187500.0156
-161056.75,-81075.60938,-108757.5313,-153989.5313,-187500.0156,-148166.5469,-158052.9375,-187500.0156
-161068.0625,-81081.55469,-108748.5234,-154137.2656,-187500.0156,-148185.4063,-158154.0313,-187500.0156
-161079.6719,-81097.28906,-108746.1094,-154364.0156,-187500.0156,-148217.2969,-158331.7344,-187500.0156
-161070.5625,-81093.3125,-108757.2422,-154242.2813,-187500.0156,-148202.6563,-158257.0938,-187500.0156
-161059.1563,-81076.39063,-108763.5625,-154002.7188,-187500.0156,-148171.7031,-158067.8906,-187500.0156
-161068.7031,-81078.96094,-108755.3438,-154084.9688,-187500.0156,-148184.5156,-158108.0625,-187500.0156
-161081.3125,-81097.51563,-108751.4063,-154337.25,-187500.0156,-148217.7031,-158295.4063,-187500.0156
-161073.7969,-81097.11719,-108757.7109,-154283.7813,-187500.0156,-148213.9688,-158277.2656,-187500.0156
-161056.9688,-81078.29688,-108759.2109,-154028.7344,-187500.0156,-148180.375,-158093.2656,-187500.0156
-161060.9063,-81075.89844,-108749.5938,-154047.8281,-187500.0156,-148176.9063,-158095.9844,-187500.0156
-161075.4063,-81093.20313,-108742.6016,-154309.7344,-187500.0156,-148209.0313,-158286.3438,-187500.0156
-161070.5156,-81097.13281,-108745.0156,-154324.8906,-187500.0156,-148210.5938,-158315.7031,-187500.0156
-161053.5313,-81076.72656,-108752.9688,-154066.9688,-187500.0156,-148177.6719,-158133.3594,-187500.0156
-161056.25,-81068.39063,-108748.2969,-154016.5,-187500.0156,-148171.25,-158091.3906,-187500.0156
-161077.6719,-81086.07031,-108739.4063,-154269.375,-187500.0156,-148200.1563,-158255.375,-187500.0156
-161083.4531,-81098.23438,-108746.1094,-154349.125,-187500.0156,-148209.75,-158305.1406,-187500.0156
-161063.9688,-81080.88281,-108756.5703,-154100.7969,-187500.0156,-148180.6719,-158143.0625,-187500.0156
-161058.8906,-81069.55469,-108756.3438,-153983.2188,-187500.0156,-148164.9688,-158051.5156,-187500.0156
-161076.1094,-81084.39844,-108748.9688,-154212.4844,-187500.0156,-148190.5,-158202.5625,-187500.0156
-161080.7969,-81096.21875,-108749.3516,-154360.5625,-187500.0156,-148209.8125,-158327.5938,-187500.0156
-161062.2188,-81082.96094,-108757.8438,-154150.8906,-187500.0156,-148186.0469,-158178.5313,-187500.0156
-161052.6094,-81068.4375,-108756.8125,-153972.7344,-187500.0156,-148164.625,-158021.7813,-187500.0156
-161067.3438,-81078.40625,-108747.4063,-154155.6406,-187500.0156,-148179.7969,-158148.2188,-187500.0156
-161074.7656,-81092.91406,-108745.8828,-154358.375,-187500.0156,-148204.1094,-158316.4844,-187500.0156
-161062.7188,-81084.35156,-108753.8672,-154199.5156,-187500.0156,-148185.3438,-158220.6875,-187500.0156
-161052.4531,-81066.82813,-108755.1406,-153986.8906,-187500.0156,-148160.5938,-158052.8438,-187500.0156
-161065.7031,-81071.03125,-108747.3359,-154117.7188,-187500.0156,-148180.9063,-158125.2188,-187500.0156
-161082.0938,-81086.78906,-108743.7813,-154354.6719,-187500.0156,-148209.9688,-158295.0313,-187500.0156
-161075.0938,-81081.375,-108751.3359,-154255.5781,-187500.0156,-148197.5625,-158240.4219,-187500.0156
-161060.8125,-81062.13281,-108753.4375,-154015.4063,-187500.0156,-148168.7344,-158068.25,-187500.0156
-161067.4688,-81062.26563,-108741.7266,-154085.125,-187500.0156,-148175.7344,-158103.7031,-187500.0156
-161082.3438,-81080.64063,-108738.6016,-154343.0625,-187500.0156,-148209.8594,-158292.125,-187500.0156
-161073.6406,-81082.71875,-108751.7188,-154306.3594,-187500.0156,-148210.75,-158289.7344,-187500.0156
-161053.6406,-81062.82813,-108760.3438,-154049.7031,-187500.0156,-148181.25,-158112.4688,-187500.0156
-161055.2031,-81056.27344,-108754.9141,-154052.2969,-187500.0156,-148181.875,-158091.25,-187500.0156
-161074.875,-81074.22656,-108748.1016,-154315.9219,-187500.0156,-148215.7344,-158278.375,-187500.0156
-161074.9219,-81079.60938,-108752.9922,-154346.4375,-187500.0156,-148220.5,-158312.8438,-187500.0156
-161057.0781,-81061.55469,-108762.2891,-154089.7813,-187500.0156,-148187.9063,-158134.2344,-187500.0156
-161052.7188,-81051.49219,-108757.4609,-154019.25,-187500.0156,-148176.75,-158071.8125,-187500.0156
-161069.9531,-81070.22656,-108747.8047,-154263.5625,-187500.0156,-148206.7969,-158230.25,-187500.0156
-161074.625,-81084.59375,-108749.1719,-154362.9531,-187500.0156,-148219.2031,-158317.6719,-187500.0156
-161055.625,-81070.49219,-108758.6016,-154125.9375,-187500.0156,-148191.3125,-158160.1875,-187500.0156
-161046.1563,-81057.19531,-108755.9922,-153993.1094,-187500.0156,-148174.7031,-158053.1563,-187500.0156
-161059.2344,-81068.48438,-108745.1719,-154214.4531,-187500.0156,-148198.7656,-158208.1094,-187500.0156
-161066.1563,-81081.98438,-108746.7813,-154375.6094,-187500.0156,-148219.4688,-158337.2813,-187500.0156
-161050.4219,-81069.89063,-108756.2344,-154175.5313,-187500.0156,-148197.9375,-158201.6719,-187500.0156
-161041.5,-81054.13281,-108756.75,-153990.9844,-187500.0156,-148170.8594,-158044.1719,-187500.0156
-161057.8906,-81066.44531,-108749.0391,-154160.2969,-187500.0156,-148188.7813,-158137.9688,-187500.0156
-161071.8125,-81085.85156,-108745.1484,-154367.0938,-187500.0156,-148213.9219,-158305.4688,-187500.0156
-161058.3125,-81080.23438,-108752.9922,-154219.1875,-187500.0156,-148196.7813,-158216.125,-187500.0156
-161044.75,-81062.82813,-108756.8125,-153994.0625,-187500.0156,-148166.8594,-158039.9063,-187500.0156
-161054.6875,-81066.38281,-108745.5078,-154112.4844,-187500.0156,-148177.4688,-158114.1563,-187500.0156
-161070.2188,-81085.17969,-108738.5781,-154360.9531,-187500.0156,-148206.3438,-158311.1719,-187500.0156
-161062.8906,-81081.42188,-108743.7422,-154277.9063,-187500.0156,-148194.5625,-158270.4375,-187500.0156
-161050.0781,-81061.92969,-108748.75,-154028.0625,-187500.0156,-148159.75,-158060.1875,-187500.0156
-161056.5625,-81060.65625,-108742.1094,-154077.6563,-187500.0156,-148165.3281,-158075.7344,-187500.0156
-161072.8594,-81079.65625,-108737.2578,-154335.7969,-187500.0156,-148198.7656,-158272.9219,-187500.0156
-161067.6563,-81083.39063,-108747.4531,-154315.9688,-187500.0156,-148201.3594,-158279.2813,-187500.0156
-161050.8281,-81064.75,-108755.6953,-154056.2969,-187500.0156,-148171.4063,-158086.8906,-187500.0156
-161054.3125,-81058.35156,-108749.75,-154038.0156,-187500.0156,-148167.2813,-158060.5469,-187500.0156
-161074.1875,-81078.42969,-108740.4766,-154296.375,-187500.0156,-148198.125,-158253.1875,-187500.0156
-161076.9375,-81088.6875,-108744.9688,-154348.3438,-187500.0156,-148206.0625,-158308.2188,-187500.0156
-161061.625,-81073.89063,-108754.8281,-154098.9219,-187500.0156,-148177.8281,-158128.2188,-187500.0156
-161057.1563,-81064.28125,-108753.6172,-154015.4063,-187500.0156,-148167.2344,-158060.1563,-187500.0156
-161073.3594,-81080.30469,-108745.4844,-154258.7344,-187500.0156,-148192.3125,-158219.75,-187500.0156
