channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-97058.609375,-86525.34375,-71651.2890625,-113125.84375,-29017.66015625,-94545.2421875,-61957.55859375,-102895.8984375
-96919.9765625,-86540.6328125,-71842.0390625,-112982.703125,-28991.955078125,-94413.9453125,-62087.6484375,-102856.203125
-96822.3515625,-86526.4609375,-72019.1953125,-112888.3828125,-28977.830078125,-94268.125,-62209.015625,-102762.90625
-96940.2734375,-86512.828125,-71861.078125,-113014.9375,-29005.412109375,-94376.484375,-62100.92578125,-102811.765625
-97060.5703125,-86525.75,-71655.3984375,-113133.84375,-29024.365234375,-94543.3671875,-61960.15234375,-102890.4921875
-96954.984375,-86543.3203125,-71798.8984375,-113019.40625,-29000.001953125,-94454.671875,-62064.8046875,-102853.7421875
-96824.671875,-86529.28125,-72016.515625,-112888.828125,-28976.3984375,-94279.5234375,-62216.39453125,-102767.328125
-96911.796875,-86508.5390625,-71906.3203125,-112989.09375,-28995.0859375,-94346.7578125,-62142.09765625,-102791.0234375
-97060.078125,-86518.28125,-71671.71875,-113139.703125,-29018.689453125,-94528.34375,-61949.515625,-102872.4296875
-96991.8671875,-86538.53125,-71753.5234375,-113064.15625,-28999.51171875,-94481.625,-62023.54296875,-102866.2578125
-96838.7109375,-86531.0703125,-71998.9453125,-112904.828125,-28976.48828125,-94293.6953125,-62198.19921875,-102784.9453125
-96895.125,-86510.3671875,-71949.015625,-112963.8359375,-28991.732421875,-94315.734375,-62151.70703125,-102785.390625
-97055.1171875,-86510.6796875,-71697.8671875,-113126.7421875,-29015.873046875,-94504.6953125,-61982.7265625,-102876.2734375
-97024.046875,-86532.8125,-71712.9375,-113088.7421875,-29005.947265625,-94513.3203125,-61992.16015625,-102896.2578125
-96861.1953125,-86533.171875,-71969.6640625,-112922.9765625,-28977.115234375,-94324.046875,-62169.90234375,-102790.7109375
-96875.9921875,-86515.375,-71984.734375,-112940.328125,-28985.607421875,-94295.171875,-62174.68359375,-102765.5390625
-97037.015625,-86513.5,-71739.9765625,-113096.1171875,-29012.876953125,-94472.375,-62002.890625,-102847.4375
-97050.6015625,-86532.5859375,-71686.25,-113104.609375,-29010.865234375,-94531.1171875,-61976.87109375,-102892.0546875
-96884.484375,-86534.8203125,-71931.1796875,-112934.515625,-28980.646484375,-94349.3515625,-62157.1171875,-102810.9140625
-96856.1875,-86512.6484375,-72005.34375,-112907.203125,-28974.56640625,-94269.5546875,-62186.3984375,-102746.234375
-97010.7734375,-86505.2734375,-71779.9921875,-113066.8359375,-29002.640625,-94429.5078125,-62019.83203125,-102818.203125
-97067.546875,-86525.078125,-71661.6171875,-113118.203125,-29011.4921875,-94535.5390625,-61944.953125,-102896.609375
-96912.9609375,-86535.625,-71881.9609375,-112958.03125,-28981.361328125,-94378.8984375,-62109.953125,-102827.90625
-96841.2109375,-86517.65625,-72017.5,-112898.4375,-28975.416015625,-94262.9375,-62202.71484375,-102758.5234375
-96971.34375,-86501.65625,-71821.1171875,-113045.828125,-29005.76953125,-94398.75,-62074.640625,-102817.0
-97065.625,-86518.328125,-71647.0859375,-113135.859375,-29015.42578125,-94540.6796875,-61959.3046875,-102883.9140625
-96929.0546875,-86531.9609375,-71824.203125,-112990.6640625,-28987.306640625,-94415.8671875,-62063.640625,-102840.640625
-96817.65625,-86515.6484375,-72010.5234375,-112882.390625,-28975.326171875,-94260.96875,-62181.2578125,-102764.203125
-96926.0625,-86498.8828125,-71861.2578125,-112997.453125,-29001.34375,-94357.7109375,-62079.46875,-102798.53125
