channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
133577.953125,26411.22265625,86472.5078125,-41150.8125,-41646.84375,104345.6796875,-561.475830078125,13392.0478515625,1.0,0.0
141499.1875,29114.3984375,115881.546875,-40415.62109375,-51811.1640625,107955.9765625,-3928.140380859375,15009.107421875,1.0,0.0
142991.078125,29341.044921875,150061.828125,-41116.2109375,-55352.62109375,108078.5546875,-6074.71240234375,14632.48046875,1.0,0.0
135901.5625,26459.32421875,127996.0546875,-41878.2265625,-46551.7109375,104686.2734375,-3338.05419921875,12961.0615234375,1.0,0.0
133086.171875,25507.318359375,88462.703125,-41242.0546875,-41174.328125,103903.3828125,-567.6448974609375,13080.5087890625,1.0,0.0
140197.15625,28522.345703125,107771.3046875,-40453.70703125,-49855.34375,107364.3671875,-3152.579345703125,14930.4287109375,1.0,0.0
143500.171875,29570.822265625,147669.84375,-40974.19140625,-55684.23046875,108361.703125,-6033.2275390625,14956.625,1.0,0.0
137275.03125,26978.82421875,135975.09375,-41895.9765625,-48479.4140625,105236.21875,-4089.564453125,13260.1279296875,1.0,0.0
132613.84375,25206.240234375,92255.9765625,-41500.125,-40967.84375,103531.984375,-735.4617919921875,12836.5625,1.0,0.0
138633.46875,27818.35546875,100114.3125,-40577.8046875,-47826.69921875,106623.765625,-2474.87451171875,14605.92578125,1.0,0.0
143659.53125,29669.75,143363.78125,-40840.70703125,-55612.97265625,108509.8515625,-5869.61279296875,15143.75390625,1.0,0.0
138717.03125,27616.7421875,142592.1875,-41808.3125,-50302.64453125,105885.8046875,-4729.98681640625,13632.2841796875,1.0,0.0
132585.546875,25186.572265625,97969.75,-41681.35546875,-41222.83203125,103402.8828125,-1026.1239013671875,12734.3701171875,1.0,0.0
137101.484375,27230.951171875,93846.4375,-40685.359375,-45756.74609375,105913.4296875,-1778.5283203125,14324.16015625,1.0,0.0
143496.453125,29682.1328125,137471.546875,-40721.83984375,-55108.94140625,108523.171875,-5534.91796875,15272.455078125,1.0,0.0
140042.671875,28132.576171875,147356.109375,-41721.5859375,-52059.8046875,106479.4609375,-5332.45556640625,13926.1650390625,1.0,0.0
132948.09375,25318.357421875,105168.671875,-41834.6875,-42037.91015625,103452.28125,-1505.8370361328125,12695.5224609375,1.0,0.0
135617.15625,26600.498046875,89353.6875,-40853.9375,-43962.125,105180.78125,-1245.2603759765625,13957.2783203125,1.0,0.0
142968.0625,29541.5859375,130211.875,-40629.5703125,-54160.15625,108369.75,-5049.84033203125,15309.0673828125,1.0,0.0
141249.078125,28644.029296875,150136.359375,-41562.44140625,-53487.09765625,107063.78125,-5745.47119140625,14262.24609375,1.0,0.0
133714.9375,25639.998046875,113431.2109375,-41930.3984375,-43308.65234375,103709.859375,-2102.494384765625,12776.8828125,1.0,0.0
134377.609375,26133.5703125,87118.875,-41013.3046875,-42438.00390625,104561.8203125,-810.653076171875,13671.8466796875,1.0,0.0
142127.640625,29319.85546875,122099.0390625,-40546.78125,-52732.4140625,108080.921875,-4387.15576171875,15308.396484375,1.0,0.0
142253.03125,29104.609375,150893.546875,-41368.4296875,-54555.55859375,107587.75,-5978.60009765625,14596.091796875,1.0,0.0
134807.34375,26103.75390625,122149.6875,-41981.359375,-44985.61328125,104134.5,-2801.656982421875,12940.9892578125,1.0,0.0
133384.4375,25725.650390625,87144.9375,-41213.48828125,-41403.96875,104020.8203125,-596.8363037109375,13365.9853515625,1.0,0.0
140932.046875,28859.72265625,113533.765625,-40554.6015625,-51041.86328125,107581.2265625,-3701.89599609375,15129.0908203125,1.0,0.0
142958.140625,29398.087890625,149587.625,-41203.33984375,-55289.1875,107972.109375,-6093.5771484375,14838.787109375,1.0,0.0
136100.84375,26613.998046875,130551.171875,-42006.34765625,-46928.0234375,104657.484375,-3574.53564453125,13144.79296875,1.0,0.0
132713.078125,25439.50390625,89386.3671875,-41419.48046875,-40843.03125,103608.515625,-577.0326538085938,13111.130859375,1.0,0.0
139559.328125,28388.771484375,105278.5078125,-40563.36328125,-49033.46875,107005.7578125,-2911.27001953125,14952.5126953125,1.0,0.0
143409.015625,29673.55078125,146442.234375,-41007.89453125,-55543.05859375,108279.046875,-5986.646484375,15105.6669921875,1.0,0.0
137540.25,27226.66015625,138043.171875,-41954.71484375,-48909.8203125,105282.9765625,-4285.54443359375,13443.412109375,1.0,0.0
132421.84375,25304.6328125,93714.5625,-41609.42578125,-40815.1796875,103357.234375,-747.6211547851562,12920.91796875,1.0,0.0
138033.5625,27763.50390625,97911.7265625,-40652.94921875,-47034.73046875,106299.890625,-2202.80908203125,14637.21875,1.0,0.0
143499.859375,29755.177734375,141545.375,-40863.19140625,-55424.68359375,108400.7734375,-5774.08154296875,15250.6396484375,1.0,0.0
