channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-33329.0,-18680.783203125,51492.29296875,-37037.33203125,-13810.2939453125,3951.0732421875,-9218.0380859375,-16229.244140625,1.0,0.0
-31812.701171875,-17999.189453125,52291.4140625,-35713.88671875,-9438.3369140625,4733.0712890625,-8209.7958984375,-14759.2587890625,1.0,0.0
-31189.04296875,-17432.751953125,52834.7421875,-34899.296875,-6291.25634765625,5287.93115234375,-7265.97119140625,-12767.40625,1.0,0.0
-32498.720703125,-18016.4453125,52148.85546875,-36043.9296875,-10060.8330078125,4614.20458984375,-8114.66650390625,-13944.26953125,1.0,0.0
-33423.234375,-18681.8125,51472.58203125,-37070.58984375,-13872.2080078125,3936.097412109375,-9213.880859375,-16110.82421875,1.0,0.0
-32115.076171875,-18169.375,52102.49609375,-36001.8671875,-10456.50390625,4552.11181640625,-8487.8515625,-15212.7763671875,1.0,0.0
-31093.9140625,-17438.384765625,52841.3125,-34858.08203125,-6236.40478515625,5303.9794921875,-7278.6220703125,-12893.8720703125,1.0,0.0
-32236.22265625,-17875.046875,52298.38671875,-35791.84765625,-9175.927734375,4780.099609375,-7882.07421875,-13554.2763671875,1.0,0.0
-33424.30859375,-18630.89453125,51504.3203125,-37029.6875,-13635.4580078125,3984.2431640625,-9119.3779296875,-15861.2451171875,1.0,0.0
-32422.63671875,-18326.28515625,51919.703125,-36291.5,-11433.990234375,4379.2431640625,-8719.1474609375,-15597.8515625,1.0,0.0
-31092.3046875,-17489.345703125,52796.51953125,-34914.8125,-6471.67919921875,5259.94677734375,-7378.7578125,-13138.0419921875,1.0,0.0
-31977.12109375,-17739.015625,52440.8125,-35558.36328125,-8334.1611328125,4916.9814453125,-7682.96533203125,-13249.48828125,1.0,0.0
-33329.1796875,-18533.619140625,51589.5703125,-36906.3046875,-13121.099609375,4062.92138671875,-8963.4521484375,-15525.119140625,1.0,0.0
-32715.443359375,-18461.916015625,51761.23046875,-36560.79296875,-12301.55078125,4213.66162109375,-8938.373046875,-15912.251953125,1.0,0.0
-31178.224609375,-17584.564453125,52707.78125,-35044.09375,-6977.67822265625,5160.74951171875,-7541.2998046875,-13494.1953125,1.0,0.0
-31727.2734375,-17621.400390625,52572.109375,-35328.67578125,-7558.19775390625,5047.42626953125,-7498.42919921875,-12983.4580078125,1.0,0.0
-33157.5625,-18410.328125,51709.77734375,-36715.2890625,-12389.482421875,4187.3759765625,-8728.6240234375,-15087.6064453125,1.0,0.0
-32980.625,-18576.087890625,51620.32421875,-36789.94140625,-13024.4951171875,4077.31591796875,-9079.3681640625,-16116.2333984375,1.0,0.0
-31356.32421875,-17721.447265625,52568.3515625,-35263.49609375,-7752.30029296875,5021.00634765625,-7764.951171875,-13924.9580078125,1.0,0.0
