channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-79652.6328125,-41526.90234375,-18290.74609375,-87045.0234375,-50214.66796875,-28470.400390625,-4837.990234375,-28472.45703125,1.0,0.0
-79642.7109375,-41513.4921875,-18274.830078125,-87031.390625,-50150.921875,-28393.107421875,-4810.05078125,-28382.06640625,1.0,0.0
-79641.90625,-41675.6328125,-18314.21484375,-87289.1015625,-50297.7734375,-28642.150390625,-4855.73779296875,-28674.427734375,1.0,0.0
-79648.0703125,-41691.90234375,-18328.072265625,-87304.84375,-50361.56640625,-28716.359375,-4873.30615234375,-28763.1640625,1.0,0.0
-79649.3203125,-41553.14453125,-18293.830078125,-87084.6796875,-50243.76953125,-28508.578125,-4854.75439453125,-28510.41015625,1.0,0.0
-79639.9375,-41496.19140625,-18266.3828125,-87001.703125,-50143.8125,-28366.2421875,-4817.60546875,-28356.40625,1.0,0.0
-79639.1796875,-41652.1171875,-18305.9453125,-87248.109375,-50273.05078125,-28600.263671875,-4854.44140625,-28636.83203125,1.0,0.0
-79648.4765625,-41708.0859375,-18331.693359375,-87333.0078125,-50374.125,-28736.744140625,-4886.44873046875,-28804.693359375,1.0,0.0
-79657.1953125,-41579.921875,-18303.708984375,-87128.265625,-50271.62109375,-28552.431640625,-4860.69970703125,-28563.65234375,1.0,0.0
-79651.828125,-41485.95703125,-18267.90234375,-86990.125,-50140.953125,-28355.109375,-4821.76318359375,-28322.87890625,1.0,0.0
-79648.25,-41624.7578125,-18296.736328125,-87211.453125,-50238.453125,-28547.201171875,-4830.79296875,-28575.005859375,1.0,0.0
-79655.2265625,-41722.03515625,-18330.353515625,-87360.3203125,-50372.60546875,-28743.8515625,-4908.93505859375,-28807.822265625,1.0,0.0
-79657.953125,-41609.29296875,-18307.375,-87179.7578125,-50300.76953125,-28600.3984375,-4901.4248046875,-28616.1328125,1.0,0.0
-79650.6171875,-41487.7890625,-18270.361328125,-86981.6328125,-50149.671875,-28369.146484375,-4820.779296875,-28355.466796875,1.0,0.0
-79643.6015625,-41598.20703125,-18293.3828125,-87149.140625,-50206.3984375,-28499.859375,-4807.4130859375,-28504.912109375,1.0,0.0
-79646.7734375,-41727.4453125,-18330.173828125,-87350.4375,-50363.26171875,-28737.4140625,-4856.1845703125,-28806.705078125,1.0,0.0
-79650.3515625,-41636.5625,-18312.3828125,-87210.515625,-50322.80859375,-28640.765625,-4871.29443359375,-28682.517578125,1.0,0.0
-79644.0078125,-41490.9609375,-18266.29296875,-86998.0,-50171.484375,-28387.20703125,-4868.388671875,-28358.1953125,1.0,0.0
-79635.328125,-41560.83203125,-18277.55859375,-87109.890625,-50185.12109375,-28448.048828125,-4824.2666015625,-28438.2578125,1.0,0.0
-79640.25,-41718.0546875,-18328.251953125,-87339.3984375,-50346.5,-28721.27734375,-4834.4140625,-28785.783203125,1.0,0.0
-79646.59375,-41660.1640625,-18319.580078125,-87247.890625,-50342.1171875,-28678.361328125,-4877.642578125,-28722.39453125,1.0,0.0
-79645.6171875,-41509.37890625,-18278.18359375,-87000.546875,-50185.56640625,-28418.544921875,-4818.052734375,-28391.72265625,1.0,0.0
-79633.140625,-41532.625,-18271.166015625,-87045.875,-50155.125,-28403.79296875,-4805.22265625,-28394.091796875,1.0,0.0
-79634.3046875,-41701.42578125,-18313.857421875,-87316.8203125,-50326.78515625,-28688.017578125,-4850.6416015625,-28763.1640625,1.0,0.0
-79644.984375,-41684.9296875,-18322.126953125,-87274.1328125,-50357.18359375,-28708.447265625,-4864.052734375,-28755.51953125,1.0,0.0
-79644.8515625,-41532.4921875,-18285.158203125,-87030.5390625,-50212.390625,-28461.68359375,-4831.240234375,-28437.6328125,1.0,0.0
-79635.2890625,-41510.05078125,-18267.947265625,-87002.6484375,-50138.13671875,-28370.666015625,-4798.0703125,-28354.259765625,1.0,0.0
-79633.9921875,-41681.265625,-18311.30859375,-87280.703125,-50297.7265625,-28643.58203125,-4856.36328125,-28689.3125,1.0,0.0
-79644.4921875,-41705.80859375,-18327.537109375,-87315.4765625,-50370.41796875,-28726.462890625,-4889.0419921875,-28758.916015625,1.0,0.0
-79652.765625,-41562.35546875,-18294.76953125,-87074.4375,-50238.5390625,-28500.216796875,-4817.11376953125,-28477.955078125,1.0,0.0
-79644.5859375,-41494.984375,-18262.26953125,-86978.375,-50129.64453125,-28342.056640625,-4801.4228515625,-28311.033203125,1.0,0.0
-79642.796875,-41656.9921875,-18299.10546875,-87238.0078125,-50264.46875,-28583.41015625,-4832.08935546875,-28612.423828125,1.0,0.0
-79651.15625,-41723.95703125,-18327.669921875,-87330.6328125,-50373.859375,-28738.173828125,-4846.9755859375,-28805.810546875,1.0,0.0
-79656.5234375,-41586.8046875,-18295.88671875,-87119.765625,-50270.94921875,-28545.14453125,-4843.31005859375,-28538.349609375,1.0,0.0
-79650.0390625,-41482.69140625,-18256.81640625,-86961.296875,-50130.22265625,-28329.71875,-4796.55029296875,-28289.84375,1.0,0.0
-79645.96875,-41625.7421875,-18287.169921875,-87186.0625,-50228.9296875,-28523.28515625,-4815.4150390625,-28536.248046875,1.0,0.0
-79651.203125,-41732.98828125,-18325.345703125,-87349.5,-50372.3828125,-28737.19140625,-4863.87353515625,-28791.908203125,1.0,0.0
-79656.5625,-41618.94921875,-18304.9609375,-87159.5546875,-50295.94140625,-28590.876953125,-4845.32177734375,-28599.19140625,1.0,0.0
-79650.171875,-41487.25,-18263.38671875,-86953.7421875,-50138.71875,-28342.548828125,-4788.50341796875,-28307.412109375,1.0,0.0
-79643.9609375,-41596.86328125,-18285.515625,-87125.0859375,-50193.5703125,-28473.708984375,-4788.50341796875,-28473.931640625,1.0,0.0
-79648.7890625,-41737.01171875,-18327.1796875,-87335.5078125,-50356.9140625,-28730.306640625,-4831.240234375,-28793.830078125,1.0,0.0
-79653.8828125,-41646.12890625,-18310.146484375,-87192.3203125,-50318.11328125,-28631.421875,-4840.27001953125,-28663.251953125,1.0,0.0
-79653.078125,-41495.7890625,-18266.470703125,-86962.234375,-50154.98828125,-28364.54296875,-4794.2255859375,-28325.0703125,1.0,0.0
-79646.953125,-41563.5625,-18275.994140625,-87072.515625,-50163.171875,-28419.6171875,-4781.12744140625,-28399.052734375,1.0,0.0
-79648.6953125,-41725.38671875,-18320.607421875,-87333.140625,-50341.984375,-28707.060546875,-4849.12158203125,-28753.150390625,1.0,0.0
-79657.7734375,-41672.01171875,-18317.65625,-87234.2109375,-50336.08203125,-28667.85546875,-4826.2333984375,-28680.908203125,1.0,0.0
-79658.9765625,-41518.140625,-18279.525390625,-86971.9765625,-50170.81640625,-28395.25390625,-4763.291015625,-28325.515625,1.0,0.0
-79648.4765625,-41537.85546875,-18273.04296875,-87009.3984375,-50131.74609375,-28366.330078125,-4750.818359375,-28310.8984375,1.0,0.0
-79649.8125,-41714.2578125,-18320.47265625,-87292.7734375,-50308.94921875,-28661.373046875,-4814.69970703125,-28696.107421875,1.0,0.0
-79656.2109375,-41699.4140625,-18326.150390625,-87267.3359375,-50351.640625,-28693.515625,-4845.9921875,-28711.666015625,1.0,0.0
-79658.0859375,-41542.640625,-18285.693359375,-87017.21875,-50202.6875,-28439.0625,-4787.78857421875,-28379.96484375,1.0,0.0
-79648.0703125,-41514.1640625,-18267.544921875,-86974.8359375,-50119.5859375,-28337.408203125,-4747.33154296875,-28274.912109375,1.0,0.0
-79642.3515625,-41689.40234375,-18311.845703125,-87260.8984375,-50284.98828125,-28626.146484375,-4820.28759765625,-28646.978515625,1.0,0.0
-79654.015625,-41723.46484375,-18333.2578125,-87290.7578125,-50362.63671875,-28726.775390625,-4803.34521484375,-28757.306640625,1.0,0.0
-79657.5078125,-41573.9765625,-18297.8984375,-87052.265625,-50232.05859375,-28494.943359375,-4781.619140625,-28474.37890625,1.0,0.0
-79646.8671875,-41496.59375,-18260.5703125,-86950.4765625,-50118.6015625,-28323.7734375,-4778.13232421875,-28285.41796875,1.0,0.0
-79642.53125,-41659.8515625,-18297.541015625,-87217.578125,-50256.421875,-28573.173828125,-4822.12060546875,-28595.212890625,1.0,0.0
-79654.421875,-41736.65234375,-18326.955078125,-87328.3125,-50374.3046875,-28739.470703125,-4833.87744140625,-28785.42578125,1.0,0.0
-79658.8046875,-41600.484375,-18299.328125,-87107.1640625,-50266.92578125,-28545.94921875,-4799.0087890625,-28524.537109375,1.0,0.0
-79648.3828125,-41487.25,-18259.630859375,-86939.5234375,-50122.578125,-28324.17578125,-4766.822265625,-28274.330078125,1.0,0.0
-79642.0390625,-41626.19140625,-18289.181640625,-87167.3359375,-50221.328125,-28517.65234375,-4794.49365234375,-28522.123046875,1.0,0.0
-79647.8515625,-41739.3359375,-18323.55859375,-87346.59375,-50372.828125,-28741.572265625,-4849.47900390625,-28794.814453125,1.0,0.0
-79653.34375,-41622.74609375,-18301.072265625,-87162.59375,-50300.90234375,-28594.18359375,-4838.30322265625,-28601.91796875,1.0,0.0
-79648.1640625,-41483.2265625,-18259.54296875,-86950.2109375,-50138.8984375,-28335.171875,-4790.78369140625,-28290.2890625,1.0,0.0
-79641.5,-41587.38671875,-18278.853515625,-87123.703125,-50192.67578125,-28457.34765625,-4805.89306640625,-28450.23828125,1.0,0.0
-79642.9765625,-41732.31640625,-18321.14453125,-87349.8984375,-50367.64453125,-28731.87109375,-4861.0576171875,-28793.875,1.0,0.0
-79646.1953125,-41644.51953125,-18307.197265625,-87204.9765625,-50331.25390625,-28642.240234375,-4849.255859375,-28664.369140625,1.0,0.0
-79644.1796875,-41488.7734375,-18261.330078125,-86964.46875,-50162.5,-28361.0546875,-4813.8056640625,-28326.0078125,1.0,0.0
-79636.4921875,-41551.3125,-18267.6328125,-87066.8359375,-50163.88671875,-28404.955078125,-4789.3974609375,-28399.814453125,1.0,0.0
-79642.484375,-41724.62890625,-18319.7578125,-87327.1484375,-50341.984375,-28703.349609375,-4814.16357421875,-28755.162109375,1.0,0.0
-79649.59375,-41673.6640625,-18315.734375,-87238.0546875,-50345.3359375,-28677.109375,-4820.421875,-28711.75390625,1.0,0.0
