channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-39037.859375,-13335.5419921875,53956.9765625,-34956.02734375,-11579.857421875,5067.3193359375,-8890.5849609375,-18922.71875,1.0,0.0
-39394.01171875,-14004.306640625,53628.71875,-35413.61328125,-13619.0966796875,4867.53955078125,-9791.0029296875,-20678.806640625,1.0,0.0
-39126.4140625,-13968.9013671875,53693.00390625,-35499.84375,-14009.0009765625,4800.841796875,-9839.103515625,-21489.771484375,1.0,0.0
-38758.55078125,-13347.74609375,54001.1875,-35097.19921875,-12195.4697265625,4965.3505859375,-9031.087890625,-19991.310546875,1.0,0.0
-38955.60546875,-13247.38671875,54001.6796875,-34922.1875,-11418.5673828125,5064.681640625,-8811.8173828125,-18875.9140625,1.0,0.0
-39377.73828125,-13911.0556640625,53662.42578125,-35340.296875,-13298.9306640625,4891.634765625,-9666.4140625,-20369.0546875,1.0,0.0
-39204.37890625,-14049.45703125,53644.3203125,-35540.2109375,-14192.28515625,4787.11767578125,-9939.41796875,-21579.58203125,1.0,0.0
-38806.0703125,-13465.1826171875,53947.859375,-35185.625,-12590.4697265625,4927.62109375,-9194.9716796875,-20394.8046875,1.0,0.0
-38881.70703125,-13193.876953125,54038.24609375,-34904.4375,-11333.5859375,5063.6982421875,-8752.8984375,-18909.978515625,1.0,0.0
-39337.8203125,-13803.3642578125,53716.11328125,-35254.9140625,-12909.0263671875,4929.63232421875,-9518.3115234375,-20023.900390625,1.0,0.0
-39274.51953125,-14111.953125,53607.21875,-35557.87109375,-14268.951171875,4775.94189453125,-9997.578125,-21585.392578125,1.0,0.0
-38865.9296875,-13592.900390625,53888.7578125,-35263.85546875,-12966.068359375,4886.85107421875,-9351.6123046875,-20739.646484375,1.0,0.0
-38814.83203125,-13170.8544921875,54061.62890625,-34900.7734375,-11333.8544921875,5057.21630859375,-8723.4833984375,-19015.298828125,1.0,0.0
-39269.46875,-13678.6865234375,53778.34375,-35163.18359375,-12504.68359375,4966.5576171875,-9328.0087890625,-19684.33203125,1.0,0.0
-39330.0859375,-14142.216796875,53584.640625,-35549.8671875,-14255.5400390625,4780.99365234375,-9995.029296875,-21500.455078125,1.0,0.0
-38930.2578125,-13716.103515625,53833.5078125,-35342.7578125,-13319.896484375,4856.54248046875,-9507.26953125,-21074.1640625,1.0,0.0
-38763.82421875,-13183.103515625,54071.1953125,-34928.66796875,-11442.751953125,5052.34375,-8753.9267578125,-19223.037109375,1.0,0.0
-39191.4140625,-13556.6015625,53846.91796875,-35082.359375,-12129.7548828125,5012.87060546875,-9166.5400390625,-19390.361328125,1.0,0.0
-39381.13671875,-14137.7021484375,53582.765625,-35525.4609375,-14130.8173828125,4808.88818359375,-9982.244140625,-21305.4140625,1.0,0.0
-39005.76171875,-13832.9130859375,53776.46484375,-35414.73046875,-13643.8173828125,4831.73193359375,-9658.2333984375,-21330.984375,1.0,0.0
-38741.02734375,-13228.0751953125,54059.83984375,-34979.8984375,-11661.93359375,5022.34765625,-8826.123046875,-19514.01171875,1.0,0.0
-39111.6171875,-13438.091796875,53909.01171875,-35017.40625,-11808.6943359375,5040.9443359375,-9012.1787109375,-19165.279296875,1.0,0.0
-39407.6015625,-14092.1494140625,53599.4375,-35479.4609375,-13904.8857421875,4838.52685546875,-9901.6884765625,-21028.208984375,1.0,0.0
-39081.1328125,-13933.6748046875,53727.37890625,-35469.8046875,-13911.904296875,4809.38037109375,-9780.0947265625,-21504.703125,1.0,0.0
-38744.0234375,-13301.7021484375,54037.3984375,-35036.046875,-11968.017578125,4993.20068359375,-8927.7783203125,-19825.728515625,1.0,0.0
-39022.48046875,-13332.63671875,53972.7578125,-34948.78515625,-11571.2294921875,5060.9267578125,-8886.6064453125,-19019.904296875,1.0,0.0
-39403.7578125,-14011.7275390625,53632.20703125,-35401.49609375,-13606.2666015625,4865.30419921875,-9792.5224609375,-20717.25,1.0,0.0
-39157.3046875,-14021.96484375,53674.62890625,-35511.6484375,-14120.7587890625,4796.013671875,-9896.01171875,-21620.3515625,1.0,0.0
-38775.71875,-13404.4306640625,53984.42578125,-35112.17578125,-12324.796875,4962.89208984375,-9086.5205078125,-20185.501953125,1.0,0.0
-38945.58984375,-13256.9091796875,54009.63671875,-34908.1484375,-11398.9423828125,5078.58447265625,-8803.4580078125,-18949.451171875,1.0,0.0
-39380.28515625,-13912.6640625,53673.734375,-35314.59375,-13228.8349609375,4913.27099609375,-9641.73828125,-20361.90234375,1.0,0.0
-39227.3125,-14095.1884765625,53630.640625,-35542.046875,-14262.6484375,4783.54150390625,-9968.1181640625,-21684.634765625,1.0,0.0
-38823.05859375,-13522.7158203125,53931.05078125,-35196.53125,-12711.4814453125,4927.84423828125,-9251.6103515625,-20550.193359375,1.0,0.0
-38864.8984375,-13205.2763671875,54047.58984375,-34890.4453125,-11335.955078125,5087.39111328125,-8756.072265625,-18980.162109375,1.0,0.0
-39324.40625,-13789.8642578125,53733.90625,-35220.8515625,-12833.8798828125,4962.5341796875,-9471.41796875,-19974.279296875,1.0,0.0
-39294.8125,-14139.35546875,53601.62890625,-35553.3984375,-14320.986328125,4790.33642578125,-10016.4423828125,-21616.685546875,1.0,0.0
-38889.12890625,-13641.9853515625,53875.34765625,-35286.96875,-13102.681640625,4890.025390625,-9423.8974609375,-20886.140625,1.0,0.0
-38806.47265625,-13186.9482421875,54068.19921875,-34909.3125,-11390.8515625,5065.7548828125,-8760.498046875,-19129.47265625,1.0,0.0
-39255.65234375,-13659.77734375,53798.01171875,-35140.65234375,-12447.552734375,4985.46728515625,-9308.5185546875,-19666.94140625,1.0,0.0
-39351.05078125,-14156.5224609375,53580.6171875,-35545.7109375,-14276.2822265625,4793.64453125,-10019.7509765625,-21483.021484375,1.0,0.0
-38955.60546875,-13761.8349609375,53810.52734375,-35362.78515625,-13452.12890625,4856.765625,-9577.0068359375,-21168.263671875,1.0,0.0
-38760.1171875,-13206.5732421875,54063.640625,-34940.0234375,-11536.9423828125,5046.755859375,-8797.646484375,-19317.31640625,1.0,0.0
-39172.50390625,-13535.5908203125,53860.1484375,-35062.77734375,-12094.484375,5018.18994140625,-9154.603515625,-19361.9296875,1.0,0.0
-39387.4375,-14135.6455078125,53585.4921875,-35518.80078125,-14128.1357421875,4812.1962890625,-10002.4501953125,-21272.46875,1.0,0.0
-39021.9453125,-13868.810546875,53760.23828125,-35441.640625,-13772.33984375,4822.791015625,-9752.87109375,-21406.578125,1.0,0.0
-38737.13671875,-13256.4169921875,54045.578125,-35005.37890625,-11809.3203125,5008.310546875,-8912.087890625,-19629.705078125,1.0,0.0
-39085.9609375,-13417.484375,53915.76171875,-35003.63671875,-11807.6220703125,5033.92578125,-9032.6083984375,-19184.45703125,1.0,0.0
-39404.47265625,-14077.84375,53597.3828125,-35471.50390625,-13884.859375,4830.74853515625,-9933.47265625,-21005.23046875,1.0,0.0
-39096.59765625,-13964.5654296875,53697.5625,-35491.171875,-14026.345703125,4788.6376953125,-9857.521484375,-21593.88671875,1.0,0.0
-38746.390625,-13336.0791015625,54005.5703125,-35060.6796875,-12117.3720703125,4965.171875,-9006.3671875,-19981.1640625,1.0,0.0
-39000.08203125,-13319.6728515625,53962.69921875,-34940.11328125,-11560.814453125,5044.1181640625,-8898.900390625,-19042.61328125,1.0,0.0
-39394.99609375,-13994.0693359375,53621.65625,-35379.859375,-13545.6044921875,4853.0556640625,-9786.443359375,-20658.197265625,1.0,0.0
-39169.51171875,-14048.0712890625,53646.15234375,-35524.1640625,-14200.2421875,4759.98291015625,-9954.4833984375,-21681.99609375,1.0,0.0
-38781.3046875,-13440.4169921875,53957.46875,-35142.0390625,-12459.80078125,4922.9716796875,-9174.630859375,-20337.94140625,1.0,0.0
-38916.265625,-13245.95703125,54006.15234375,-34910.33984375,-11409.3583984375,5049.97412109375,-8836.404296875,-19016.1484375,1.0,0.0
-39360.66015625,-13885.7978515625,53674.8984375,-35297.02734375,-13154.404296875,4896.5517578125,-9642.5869140625,-20305.53125,1.0,0.0
-39237.4609375,-14111.3271484375,53612.58203125,-35549.375,-14302.970703125,4761.72607421875,-10017.380859375,-21698.044921875,1.0,0.0
-38829.98828125,-13555.0361328125,53907.8046875,-35226.03515625,-12842.2392578125,4889.26513671875,-9325.908203125,-20679.4765625,1.0,0.0
-38842.1015625,-13200.76171875,54044.5078125,-34900.015625,-11377.7978515625,5047.82861328125,-8780.6142578125,-19066.3515625,1.0,0.0
-39303.0390625,-13758.1689453125,53740.87890625,-35205.3828125,-12762.578125,4930.794921875,-9452.865234375,-19939.09765625,1.0,0.0
-39304.46875,-14149.01171875,53588.84375,-35557.734375,-14335.6044921875,4760.4296875,-10044.203125,-21625.40234375,1.0,0.0
-38895.43359375,-13675.736328125,53853.265625,-35308.91796875,-13205.90234375,4847.10986328125,-9481.251953125,-21018.283203125,1.0,0.0
-38781.9296875,-13191.5078125,54059.03515625,-34915.16796875,-11427.2841796875,5027.26513671875,-8771.361328125,-19233.453125,1.0,0.0
-39228.609375,-13631.5244140625,53801.0078125,-35116.55859375,-12348.4892578125,4967.04931640625,-9269.357421875,-19600.333984375,1.0,0.0
-39359.6796875,-14158.8017578125,53567.87890625,-35537.12890625,-14236.541015625,4777.37255859375,-10027.9755859375,-21442.7890625,1.0,0.0
-38968.12109375,-13792.2783203125,53788.578125,-35381.06640625,-13524.3251953125,4823.640625,-9625.734375,-21259.4140625,1.0,0.0
-38746.4375,-13219.08984375,54054.38671875,-34954.55078125,-11581.6455078125,5015.23974609375,-8822.2783203125,-19431.35546875,1.0,0.0
-39145.81640625,-13507.6953125,53866.6328125,-35046.37109375,-11998.998046875,5004.9580078125,-9120.5400390625,-19340.607421875,1.0,0.0
-39388.82421875,-14126.8388671875,53578.6953125,-35504.00390625,-14064.5673828125,4793.91259765625,-9968.8779296875,-21237.689453125,1.0,0.0
-39036.3828125,-13896.392578125,53739.671875,-35445.53125,-13823.615234375,4790.73876953125,-9743.8408203125,-21478.953125,1.0,0.0
-38736.06640625,-13279.6630859375,54035.96875,-35014.3671875,-11853.9794921875,4986.1376953125,-8915.0380859375,-19710.6171875,1.0,0.0
-39062.3125,-13395.3115234375,53931.13671875,-34988.79296875,-11716.1142578125,5023.95703125,-8982.31640625,-19137.294921875,1.0,0.0
-39401.83203125,-14062.197265625,53606.09765625,-35447.18359375,-13782.48828125,4823.4169921875,-9868.384765625,-20903.6640625,1.0,0.0
-39113.62890625,-13989.4208984375,53691.171875,-35499.98046875,-14047.802734375,4772.455078125,-9864.5400390625,-21611.142578125,1.0,0.0
-38751.265625,-13366.1640625,53999.66796875,-35081.375,-12177.3193359375,4944.9208984375,-9040.296875,-20065.02734375,1.0,0.0
-38976.5703125,-13305.14453125,53978.03125,-34930.45703125,-11501.939453125,5036.42919921875,-8864.5234375,-19014.80859375,1.0,0.0
-39387.171875,-13970.2421875,53640.87890625,-35352.4140625,-13421.73046875,4859.0009765625,-9719.7900390625,-20530.748046875,1.0,0.0
-39181.625,-14063.9853515625,53648.5234375,-35519.46875,-14200.8232421875,4753.5009765625,-9935.7529296875,-21650.390625,1.0,0.0
-38783.8984375,-13470.501953125,53950.98828125,-35151.203125,-12544.291015625,4897.84814453125,-9172.3515625,-20393.060546875,1.0,0.0
-38891.0078125,-13239.7431640625,54014.6875,-34899.296875,-11399.0322265625,5029.3662109375,-8790.5830078125,-18992.634765625,1.0,0.0
-39342.2890625,-13857.947265625,53688.44140625,-35268.953125,-13047.8759765625,4893.28857421875,-9566.14453125,-20171.107421875,1.0,0.0
-39247.25,-14121.02734375,53609.5859375,-35547.765625,-14298.0537109375,4753.0537109375,-10003.880859375,-21641.49609375,1.0,0.0
-38841.296875,-13589.01171875,53897.8359375,-35245.078125,-12932.5849609375,4871.25,-9358.541015625,-20736.697265625,1.0,0.0
-38824.3984375,-13207.2880859375,54043.5234375,-34902.83203125,-11403.4580078125,5036.25048828125,-8765.638671875,-19090.357421875,1.0,0.0
-39279.48046875,-13733.0458984375,53749.8203125,-35177.35546875,-12657.1669921875,4939.3330078125,-9395.466796875,-19836.994140625,1.0,0.0
-39310.953125,-14154.287109375,53579.76953125,-35544.37109375,-14295.326171875,4765.4365234375,-10032.580078125,-21538.185546875,1.0,0.0
-38910.41015625,-13710.7392578125,53832.56640625,-35322.7734375,-13289.9892578125,4845.09814453125,-9518.892578125,-21018.5078125,1.0,0.0
-38771.87109375,-13206.259765625,54050.453125,-34924.2421875,-11501.939453125,5025.38720703125,-8797.9599609375,-19237.833984375,1.0,0.0
-39201.6953125,-13601.0810546875,53815.89453125,-35095.6796875,-12281.3447265625,4973.3525390625,-9224.9228515625,-19503.640625,1.0,0.0
-39357.578125,-14144.2734375,53577.30859375,-35520.67578125,-14182.4951171875,4776.478515625,-9996.4150390625,-21340.328125,1.0,0.0
-38982.15625,-13817.1328125,53779.05859375,-35388.578125,-13602.2431640625,4814.29736328125,-9648.6669921875,-21261.650390625,1.0,0.0
-38744.24609375,-13239.564453125,54043.30078125,-34960.23046875,-11681.87109375,5004.9580078125,-8835.734375,-19473.509765625,1.0,0.0
-39122.3046875,-13483.5107421875,53877.58203125,-35014.72265625,-11943.5205078125,5009.42822265625,-9063.453125,-19253.8828125,1.0,0.0
-39387.39453125,-14106.0966796875,53587.45703125,-35463.5,-13968.2314453125,4808.30712890625,-9918.8544921875,-21094.63671875,1.0,0.0
-39052.25390625,-13916.822265625,53726.88671875,-35438.15625,-13868.2294921875,4788.2802734375,-9755.28515625,-21453.740234375,1.0,0.0
-38738.56640625,-13308.720703125,54017.28125,-35023.6640625,-11980.6240234375,4976.03466796875,-8945.66015625,-19783.619140625,1.0,0.0
-39034.4609375,-13377.474609375,53933.10546875,-34964.20703125,-11705.2060546875,5036.4736328125,-8939.22265625,-19083.740234375,1.0,0.0
-39390.390625,-14032.291015625,53612.84765625,-35400.78125,-13658.435546875,4851.08837890625,-9795.0712890625,-20739.111328125,1.0,0.0
-39129.3203125,-14010.8330078125,53675.25390625,-35491.30859375,-14075.3408203125,4786.93896484375,-9872.5869140625,-21548.333984375,1.0,0.0
-38761.234375,-13403.89453125,53978.390625,-35100.5546875,-12317.46484375,4941.65771484375,-9090.0517578125,-20131.1875,1.0,0.0
-38949.74609375,-13295.7568359375,53983.75390625,-34920.66796875,-11532.4716796875,5041.123046875,-8851.73828125,-19022.541015625,1.0,0.0
-39361.5546875,-13924.734375,53662.515625,-35304.625,-13283.6865234375,4883.49853515625,-9644.5546875,-20386.802734375,1.0,0.0
-39201.203125,-14080.34765625,53633.81640625,-35506.015625,-14206.58984375,4772.0078125,-9932.5341796875,-21592.322265625,1.0,0.0
-38804.328125,-13515.9208984375,53925.37109375,-35168.3671875,-12693.0634765625,4908.1748046875,-9234.8466796875,-20475.13671875,1.0,0.0
-38875.76171875,-13246.314453125,54009.50390625,-34900.41796875,-11480.794921875,5042.24072265625,-8806.2294921875,-19051.732421875,1.0,0.0
-39321.58984375,-13824.0625,53703.59765625,-35229.4765625,-12969.9130859375,4915.32763671875,-9504.3642578125,-20078.884765625,1.0,0.0
-39264.50390625,-14123.53125,53602.30078125,-35528.90234375,-14298.2763671875,4763.73779296875,-9983.048828125,-21582.173828125,1.0,0.0
-38861.7265625,-13622.583984375,53872.53125,-35261.171875,-13088.6005859375,4853.591796875,-9404.2734375,-20841.482421875,1.0,0.0
