channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-44377.95703125,-52534.69140625,30694.353515625,-134439.578125,-48931.76953125,-14034.4814453125,-36853.33203125,-24041.580078125,1.0,0.0
-44349.66015625,-52532.90234375,30793.685546875,-134414.40625,-48922.6953125,-13972.2099609375,-36838.40234375,-23817.125,1.0,0.0
-44420.60546875,-52547.02734375,30600.833984375,-134444.890625,-48935.703125,-14252.6796875,-36852.484375,-24542.349609375,1.0,0.0
-44451.8515625,-52547.20703125,30487.958984375,-134474.078125,-48946.83203125,-14332.4306640625,-36870.36328125,-24833.63671875,1.0,0.0
-44389.671875,-52534.734375,30655.328125,-134453.609375,-48936.41796875,-14084.4599609375,-36861.69140625,-24206.3125,1.0,0.0
-44343.1328125,-52529.90625,30799.05078125,-134424.6875,-48922.46875,-13953.92578125,-36844.03515625,-23801.388671875,1.0,0.0
-44399.81640625,-52542.24609375,30640.3515625,-134442.96875,-48932.3046875,-14204.935546875,-36858.29296875,-24437.787109375,1.0,0.0
-44448.5,-52547.51953125,30474.189453125,-134472.921875,-48947.37109375,-14359.5205078125,-36876.4453125,-24906.951171875,1.0,0.0
-44394.3203125,-52535.31640625,30609.595703125,-134454.8125,-48939.6796875,-14140.4287109375,-36868.48828125,-24365.7265625,1.0,0.0
-44338.796875,-52527.671875,30789.125,-134422.90625,-48922.6484375,-13948.650390625,-36846.58203125,-23803.267578125,1.0,0.0
-44386.67578125,-52542.19921875,30681.8828125,-134433.765625,-48925.33203125,-14145.123046875,-36841.80078125,-24261.521484375,1.0,0.0
-44451.98828125,-52551.453125,30483.353515625,-134467.953125,-48940.0390625,-14359.38671875,-36861.828125,-24870.3828125,1.0,0.0
-44412.3359375,-52541.44140625,30579.109375,-134460.546875,-48935.5234375,-14176.638671875,-36868.53125,-24428.1328125,1.0,0.0
-44344.4296875,-52530.9375,30777.056640625,-134424.203125,-48918.7578125,-13944.6279296875,-36840.90625,-23778.27734375,1.0,0.0
-44368.390625,-52540.76953125,30721.84765625,-134421.421875,-48918.4921875,-14085.2646484375,-36824.6328125,-24099.248046875,1.0,0.0
-44443.046875,-52553.46484375,30500.921875,-134459.46875,-48935.2109375,-14346.958984375,-36842.3359375,-24822.013671875,1.0,0.0
-44421.453125,-52545.46484375,30542.80859375,-134461.796875,-48934.31640625,-14226.3486328125,-36846.26953125,-24562.421875,1.0,0.0
-44355.33984375,-52533.57421875,30746.92578125,-134440.15625,-48919.02734375,-13970.82421875,-36832.63671875,-23854.49609375,1.0,0.0
-44365.08203125,-52540.234375,30749.697265625,-134453.4375,-48915.09375,-14036.626953125,-36834.19921875,-23960.935546875,1.0,0.0
-44443.359375,-52552.83984375,30527.1640625,-134490.84375,-48934.00390625,-14323.8916015625,-36867.19140625,-24752.1875,1.0,0.0
-44438.3515625,-52545.10546875,30517.015625,-134493.0,-48940.30859375,-14269.8896484375,-36886.59375,-24695.4140625,1.0,0.0
-44370.26953125,-52533.03515625,30716.794921875,-134453.125,-48926.8046875,-14007.5703125,-36846.8046875,-24000.3203125,1.0,0.0
-44357.75390625,-52536.16796875,30775.490234375,-134431.921875,-48917.328125,-13999.2109375,-36826.82421875,-23893.298828125,1.0,0.0
-44430.0390625,-52549.80078125,30563.373046875,-134453.4375,-48934.00390625,-14292.15234375,-36853.421875,-24656.208984375,1.0,0.0
-44445.953125,-52547.1171875,30491.982421875,-134473.8125,-48942.23046875,-14313.1181640625,-36865.1328125,-24779.724609375,1.0,0.0
-44380.23828125,-52535.49609375,30678.931640625,-134452.53125,-48929.62109375,-14052.8095703125,-36849.62109375,-24101.21484375,1.0,0.0
-44347.06640625,-52534.2890625,30790.82421875,-134426.875,-48917.55078125,-13970.287109375,-36837.73046875,-23814.041015625,1.0,0.0
-44411.84375,-52547.609375,30606.244140625,-134441.09375,-48930.515625,-14245.2138671875,-36852.52734375,-24514.09765625,1.0,0.0
-44446.7109375,-52548.953125,30481.07421875,-134461.03125,-48943.2109375,-14346.6455078125,-36860.26171875,-24855.810546875,1.0,0.0
-44384.6171875,-52535.5859375,30642.3203125,-134428.9375,-48935.078125,-14107.52734375,-36845.95703125,-24256.470703125,1.0,0.0
-44336.5625,-52529.01171875,30798.201171875,-134402.15625,-48921.890625,-13957.4130859375,-36831.3828125,-23799.734375,1.0,0.0
-44394.6328125,-52542.87109375,30653.763671875,-134417.40625,-48929.48828125,-14191.6591796875,-36839.96484375,-24370.509765625,1.0,0.0
-44449.9765625,-52549.578125,30479.017578125,-134457.046875,-48945.0,-14363.8564453125,-36858.7421875,-24890.5,1.0,0.0
-44401.96484375,-52537.953125,30606.2890625,-134443.828125,-48937.22265625,-14149.6376953125,-36848.68359375,-24371.08984375,1.0,0.0
-44344.51953125,-52530.4453125,30791.896484375,-134417.984375,-48920.859375,-13945.0302734375,-36828.38671875,-23780.958984375,1.0,0.0
-44385.82421875,-52542.42578125,30697.21484375,-134437.734375,-48925.77734375,-14129.833984375,-36841.0390625,-24217.533203125,1.0,0.0
-44453.73046875,-52551.27734375,30490.193359375,-134476.28125,-48940.88671875,-14357.28515625,-36861.3359375,-24849.8203125,1.0,0.0
-44416.5390625,-52541.7109375,30569.765625,-134457.984375,-48935.8359375,-14193.5361328125,-36849.265625,-24467.470703125,1.0,0.0
-44347.60546875,-52531.11328125,30769.232421875,-134412.171875,-48919.5625,-13957.3681640625,-36822.30859375,-23811.939453125,1.0,0.0
-44367.80859375,-52540.32421875,30727.255859375,-134405.203125,-48919.65234375,-14079.6767578125,-36819.44921875,-24075.82421875,1.0,0.0
-44440.2734375,-52551.90234375,30503.873046875,-134444.140625,-48937.4453125,-14347.0927734375,-36847.609375,-24808.423828125,1.0,0.0
-44423.0625,-52543.54296875,30534.001953125,-134451.421875,-48937.71484375,-14238.642578125,-36848.7734375,-24603.19140625,1.0,0.0
-44355.5625,-52531.5625,30739.146484375,-134418.828125,-48922.06640625,-13981.060546875,-36827.26953125,-23907.515625,1.0,0.0
-44359.5390625,-52537.7734375,30757.38671875,-134410.34375,-48916.390625,-14028.71484375,-36815.6015625,-23952.0390625,1.0,0.0
-44438.6640625,-52551.90234375,30535.701171875,-134451.421875,-48930.6953125,-14314.861328125,-36837.0625,-24699.4375,1.0,0.0
